objectid,filename,youtubeid,vimeoid,title,creator,date,description,subject,location,latitude,longitude,source,identifier,type,format,language,rights,rightsstatement
bath01,Bath Ambrose Norton.jpeg,,,Marble Wall Tablet of Colonel Ambrose Norton (Photograph),Photographed by Kristen Hanna,2023-10-23,"A photograph of a marble wall tablet bearing the epitaph of Colonel Ambrose Norton (d. 1723), which details his prolific military career, personal life, and religious devotion.","epitaphs; grave markers; Bath Abbey (Bath, England)","Bath, UK",,,,,,image/jpeg,,,
bath02,Bath Anne.jpeg,,,Marble Wall Tablet of Anne Finch (Photograph),Photographed by Kristen Hanna,2023-10-23,"A photograph of a marble wall tablet bearing the epitaph of Anne Finch (d. 1713) who died at age 20 in Valentines, Essex. Her memorial is large and ornately carved with four cherubs, tassels, and scrollwork.","epitaphs; grave markers; Bath Abbey (Bath, England)","Bath, UK",,,,,,image/jpeg,,,
bath03,Bath Charlotte Isabella.jpeg,,,Marble Wall Tablet of Charlotte Isabella Munro (Photograph),Photographed by Kristen Hanna,2023-10-23,"A photograph of a marble wall tablet bearing the epitaph of Charlotte Isabella (d. 1815) Munro, who died after an apparent illness at the age of 18. Her parents are listed as Matthew and Elizabeth Munro. ","epitaphs; grave markers; Bath Abbey (Bath, England)","Bath, UK",,,,,,image/jpeg,,,
bath04,Bath Countess of Erroll.jpeg,,,"Marble Wall Tablet of Alicia Hay (née Elliot), Countess of Erroll (Photograph)",Photographed by Kristen Hanna,2023-10-23,"A photograph of a marble wall tablet bearing the epitaph of Alicia Hay (née Elliot), Countess of Erroll (d. 1812), who died at the age of 35 in Bath.","epitaphs; grave markers; Bath Abbey (Bath, England)","Bath, UK",,,,,,image/jpeg,,,
bath05,Bath Henry Harington.jpeg,,,Marble Wall Tablet of Henry Harington (Photograph),Photographed by Kristen Hanna,2023-10-23,"A photograph of a marble wall tablet bearing the epitaph of Dr. Henry Harington (d.1727), a physician and musician. The carved tablet includes the epitaph written in Latin underneath a highly detailed pipe organ, Bible, and sheet music with the words ""My God, My God, why have you forsaken me?"" written in Aramaic with musical notation in the key of F minor. ","epitaphs; grave markers; Bath Abbey (Bath, England)","Bath, UK",,,,,,image/jpeg,,,
bath06,Bath James Dotton Maycock.jpeg,,,Marble Wall Tablet of James Dottin Maycock (Photograph),Photographed by Kristen Hanna,2023-10-23,"A photograph of a marble wall tablet bearing the epitaph of James Dottin Maycock (d. 1835), which extols his character and talents as well as his religious piety. ","epitaphs; grave markers; Bath Abbey (Bath, England)","Bath, UK",,,,,,image/jpeg,,,
bath07,Bath James Quinn.jpeg,,,Marble Wall Tablet of James Quin (Photograph),Photographed by Kristen Hanna,2023-10-23,"A photograph of a marble wall tablet bearing the epitaph of James Quin (d. 1766). The tablet is large in size and is topped with an ornate carving of Quin's likeness, but does not contain any biographical details of his life. Below the epitaph is a carving of a dagger underneath a theater mask.","epitaphs; grave markers; Bath Abbey (Bath, England)","Bath, UK",,,,,,image/jpeg,,,
bath08,Bath John William Rodie.jpeg,,,Marble Wall Tablet of John William Rodie (Photograph),Photographed by Kristen Hanna,2023-10-23,"A photograph of a marble wall tablet bearing the epitaph of John William Rodie (d. 1824), erected by his grieving mother. The top of the tablet features a carved laurel wreath and ribbon banners. According to the text, his nephew William Phillips, wife Margaret Matilda, and Margaret's sisters Matilda Phillips and Elizabeth Clegg Phillips are also buried with Rodie.","epitaphs; grave markers; Bath Abbey (Bath, England)","Bath, UK",,,,,,image/jpeg,,,
bath09,Bath Matthew Connolly.jpeg,,,Marble Wall Tablet of Capt. Matthew Connolly (Photograph),Photographed by Kristen Hanna,2023-10-23,"A photograph of a marble wall tablet bearing the epitaph of Capt. Matthew Connolly (d.1855). The memorial is trimmed with a carving of a 19th century British naval ship, complete with cannons, rutter details, and ship figurehead. Carvings of crossed flags atop an anchor with a broken chain decorate the top.","epitaphs; grave markers; Bath Abbey (Bath, England)","Bath, UK",,,,,,image/jpeg,,,
bath10,Bath Rawson Heart Boddom.jpeg,,,Marble Wall Tablet of Rawson Hart Boddam (Photograph),Photographed by Kristen Hanna,2023-10-23,"A photograph of a marble wall tablet bearing the epitaph of Rawson Hart Boddam (d.1812). THe tablet is a simple rectangle featuring lengthy text concerning not only his ""gentlemanly character,"" but also his work as Governor of Bombay in 1784. Memorialized with him are his son, Rawson Hart Jr. and his wife Ellen Kezia alongside their daiughter Mary Anne and son Tudor Castle.","epitaphs; grave markers; Bath Abbey (Bath, England)","Bath, UK",,,,,,image/jpeg,,,